,surface_type,sex,condition,retinal_layer,mod_sex,mod_cond,mod_retinal_layer,mito,index,sex,condition,retinal_layer,mod_sex,mod_cond,mod_retinal_layer,cd68,surface_type,log_c
0,mito,fem1,od1,ipl,fem,od,ipl,0.5633680000000001,0,fem1,od1,ipl,fem,od,ipl,6.470093622692312,pcnt_cd68_volume,1.8671905786851346
1,mito,fem1,od2,ipl,fem,od,ipl,1.13097,1,fem1,od2,ipl,fem,od,ipl,5.024049882890328,pcnt_cd68_volume,1.6142363580358592
2,mito,fem1,os1,ipl1,fem,os,ipl,0.539775,2,fem1,os1,ipl1,fem,os,ipl,19.111315447293492,pcnt_cd68_volume,2.9502805914296175
3,mito,fem1,os2,gcl1,fem,os,gcl,0.5037560000000001,3,fem1,os2,gcl1,fem,os,gcl,6.9851174664452245,pcnt_cd68_volume,1.9437818095246047
4,mito,fem1,os2,gcl2,fem,os,gcl,0.614663,4,fem1,os2,gcl2,fem,os,gcl,9.34953870186076,pcnt_cd68_volume,2.2353270053841165
5,mito,fem1,os2,ipl1,fem,os,ipl,0.929668,5,fem1,os2,ipl1,fem,os,ipl,9.610175785801689,pcnt_cd68_volume,2.262822514781782
6,mito,fem1,os2,ipl2,fem,os,ipl,1.03294,6,fem1,os2,ipl2,fem,os,ipl,9.602036462854748,pcnt_cd68_volume,2.261975207524445
7,mito,fem2,od1,ipl,fem,od,ipl,0.9033375,7,fem2,od1,ipl,fem,od,ipl,3.437732648378127,pcnt_cd68_volume,1.2348121402307162
8,mito,fem2,od1,opl,fem,od,opl,1.6165100000000001,8,fem2,od1,opl,fem,od,opl,0.539911364557955,pcnt_cd68_volume,-0.6163502926037039
9,mito,fem2,od2,ipl1,fem,od,ipl,0.9757815000000001,9,fem2,od2,ipl1,fem,od,ipl,5.856490425812195,pcnt_cd68_volume,1.767550520729597
10,mito,fem2,od2,opl1,fem,od,opl,1.35394,10,fem2,od2,opl1,fem,od,opl,1.7569867754350175,pcnt_cd68_volume,0.5636002823895065
11,mito,fem2,od2,opl2,fem,od,opl,0.990502,11,fem2,od2,opl2,fem,od,opl,3.713324135531569,pcnt_cd68_volume,1.3119274688615967
12,mito,fem2,os1,ipl,fem,os,ipl,0.5658129999999999,12,fem2,os1,ipl,fem,os,ipl,5.402997670605311,pcnt_cd68_volume,1.6869539237319655
13,mito,fem2,os1,opl,fem,os,opl,0.9220755,13,fem2,os1,opl,fem,os,opl,1.6518450769297102,pcnt_cd68_volume,0.5018928916030133
14,mito,fem2,os2,ipl1,fem,os,ipl,0.6089675000000001,14,fem2,os2,ipl1,fem,os,ipl,10.02434550057456,pcnt_cd68_volume,2.3050166843356323
15,mito,fem2,os2,ipl2,fem,os,ipl,1.04446,15,fem2,os2,ipl2,fem,os,ipl,12.740305200000684,pcnt_cd68_volume,2.5447706059010855
16,mito,fem2,os2,ipl3,fem,os,ipl,0.840148,16,fem2,os2,ipl3,fem,os,ipl,12.205951967898345,pcnt_cd68_volume,2.501923698992354
17,mito,fem3,od1,gcl,fem,od,gcl,0.8783335000000001,17,fem3,od1,gcl,fem,od,gcl,2.8045882759454708,pcnt_cd68_volume,1.031256746006971
18,mito,fem3,od1,ipl,fem,od,ipl,1.0553299999999999,18,fem3,od1,ipl,fem,od,ipl,6.261923617322626,pcnt_cd68_volume,1.8344874250212329
19,mito,fem3,od1,opl,fem,od,opl,0.809243,19,fem3,od1,opl,fem,od,opl,1.8797899506774227,pcnt_cd68_volume,0.6311600422367063
20,mito,fem3,od2,ipl1,fem,od,ipl,1.04524,20,fem3,od2,ipl1,fem,od,ipl,5.251854939025478,pcnt_cd68_volume,1.658581335919251
21,mito,male1,naiveos,gcl2,male,na,gcl,2.15009,21,male1,naiveos,gcl2,male,na,gcl,10.879610424833823,pcnt_cd68_volume,2.3868904342457182
22,mito,male1,naiveos,gcl3,male,na,gcl,0.735138,22,male1,naiveos,gcl3,male,na,gcl,5.818551084277217,pcnt_cd68_volume,1.7610512761574644
23,mito,male1,naiveos,gcl4,male,na,gcl,0.304057,23,male1,naiveos,gcl4,male,na,gcl,1.2642531784945035,pcnt_cd68_volume,0.23448157510926476
24,mito,male1,od2,ipl1,male,od,ipl,0.408767,24,male1,od2,ipl1,male,od,ipl,2.94513788325935,pcnt_cd68_volume,1.0801556354504573
25,mito,male1,od2,ipl2,male,od,ipl,0.34865650000000004,25,male1,od2,ipl2,male,od,ipl,8.474378821854456,pcnt_cd68_volume,2.1370473552238716
26,mito,male1,od2,opl,male,od,opl,1.4687700000000001,26,male1,od2,opl,male,od,opl,4.134045351479438,pcnt_cd68_volume,1.4192564315621112
27,mito,male1,os1,gcl1,male,os,gcl,0.327749,27,male1,os1,gcl1,male,os,gcl,4.707679065729,pcnt_cd68_volume,1.5491950192174444
28,mito,male1,os1,ipl1,male,os,ipl,0.671894,28,male1,os1,ipl1,male,os,ipl,14.97627612703617,pcnt_cd68_volume,2.7064673575350886
29,mito,male1,os1,ipl2,male,os,ipl,0.39124699999999996,29,male1,os1,ipl2,male,os,ipl,13.489569983182252,pcnt_cd68_volume,2.6019167930016027
30,mito,male1,os1,opl,male,os,opl,0.622495,30,male1,os1,opl,male,os,opl,9.461380513529258,pcnt_cd68_volume,2.2472183040795097
31,mito,male1,os2,gcl,male,os,gcl,0.630125,31,male1,os2,gcl,male,os,gcl,11.59955984544381,pcnt_cd68_volume,2.4509671530341213
32,mito,male1,os2,ipl1,male,os,ipl,0.625841,32,male1,os2,ipl1,male,os,ipl,21.194513121476202,pcnt_cd68_volume,3.053742333154871
33,mito,male1,rdos,gcl1,male,rd,gcl,0.576178,33,male1,rdos,gcl1,male,rd,gcl,16.14325339646098,pcnt_cd68_volume,2.781502216039186
34,mito,male1,rdos,ipl1,male,rd,ipl,1.2375200000000002,34,male1,rdos,ipl1,male,rd,ipl,2.82009531892432,pcnt_cd68_volume,1.036770685415773
35,mito,male1,rdos,ipl3,male,rd,ipl,0.833634,35,male1,rdos,ipl3,male,rd,ipl,18.60646910272524,pcnt_cd68_volume,2.923509321472118
36,mito,male1,rdos,opl1,male,rd,opl,0.8987194999999999,36,male1,rdos,opl1,male,rd,opl,12.176275163792347,pcnt_cd68_volume,2.4994893997299736
37,mito,male1,wtod,ipl1,male,wt,ipl,1.49004,37,male1,wtod,ipl1,male,wt,ipl,1.3559045249325796,pcnt_cd68_volume,0.30446877769759434
38,mito,male1,wtos,gcl1,male,wt,gcl,0.760641,38,male1,wtos,gcl1,male,wt,gcl,12.620407303930742,pcnt_cd68_volume,2.5353151310717137
39,mito,male1,wtos,ipl2,male,wt,ipl,1.71823,39,male1,wtos,ipl2,male,wt,ipl,0.8816603294695573,pcnt_cd68_volume,-0.12594841113087296
40,mito,male1,wtos,opl2,male,wt,opl,0.617781,40,male1,wtos,opl2,male,wt,opl,3.478875423652697,pcnt_cd68_volume,1.2467090874380495
41,mito,male2,naiveos,ipl2,male,na,ipl,1.22753,41,male2,naiveos,ipl2,male,na,ipl,0.3246853471392219,pcnt_cd68_volume,-1.124898728273123
42,mito,male2,naiveos,ipl3,male,na,ipl,1.45133,42,male2,naiveos,ipl3,male,na,ipl,1.3951278641987552,pcnt_cd68_volume,0.33298606999674535
43,mito,male2,naiveos,ipl5,male,na,ipl,2.36068,43,male2,naiveos,ipl5,male,na,ipl,0.5590659943840812,pcnt_cd68_volume,-0.5814877548631604
44,mito,male2,naiveos,opl1,male,na,opl,2.304225,44,male2,naiveos,opl1,male,na,opl,2.51749162282864,pcnt_cd68_volume,0.9232630180295285
45,mito,male2,naiveos,opl2,male,na,opl,1.276715,45,male2,naiveos,opl2,male,na,opl,1.2228119703155238,pcnt_cd68_volume,0.20115310025349387
46,mito,male2,naiveos,opl3,male,na,opl,2.44702,46,male2,naiveos,opl3,male,na,opl,0.42059760867429263,pcnt_cd68_volume,-0.8660787012401789
47,mito,male2,od1,gcl,male,od,gcl,0.266371,47,male2,od1,gcl,male,od,gcl,6.076943271069836,pcnt_cd68_volume,1.8045018180874046
48,mito,male2,od2,gcl,male,od,gcl,0.8575515,48,male2,od2,gcl,male,od,gcl,1.1670773207599103,pcnt_cd68_volume,0.15450260711636501
49,mito,male2,os1,gcl,male,os,gcl,0.545601,49,male2,os1,gcl,male,os,gcl,5.130626171661314,pcnt_cd68_volume,1.6352277124865635
50,mito,male2,os2,gcl,male,os,gcl,0.622603,50,male2,os2,gcl,male,os,gcl,4.187814634725003,pcnt_cd68_volume,1.432179030979315
51,mito,male2,os2,ipl1,male,os,ipl,0.54008,51,male2,os2,ipl1,male,os,ipl,2.765957400783275,pcnt_cd68_volume,1.0173868321056307
52,mito,male2,rdos,ipl1,male,rd,ipl,0.9471290000000001,52,male2,rdos,ipl1,male,rd,ipl,7.864601441309582,pcnt_cd68_volume,2.06237186024969
53,mito,male2,rdos,opl1,male,rd,opl,1.21813,53,male2,rdos,opl1,male,rd,opl,6.8329344429905765,pcnt_cd68_volume,1.921754221575912
54,mito,male3,wtos,opl1,male,wt,opl,1.70373,54,male3,wtos,opl1,male,wt,opl,0.5968211999504123,pcnt_cd68_volume,-0.5161377080183879
55,mito,male4,od1,ipl,male,od,ipl,1.31922,55,male4,od1,ipl,male,od,ipl,3.9168350279518647,pcnt_cd68_volume,1.3652839368582432
56,mito,male4,os1,opl,male,os,opl,1.14525,56,male4,os1,opl,male,os,opl,5.550443298743281,pcnt_cd68_volume,1.7138777982160514
57,mito,male5,od1,ipl2,male,od,ipl,0.7087595,57,male5,od1,ipl2,male,od,ipl,7.17113136554138,pcnt_cd68_volume,1.9700634337315843
58,mito,male5,od1,opl,male,od,opl,1.09295,58,male5,od1,opl,male,od,opl,1.7877870677359284,pcnt_cd68_volume,0.5809785800264393
59,mito,male5,od2,ipl,male,od,ipl,0.83755,59,male5,od2,ipl,male,od,ipl,1.6665938549808725,pcnt_cd68_volume,0.5107819358002089
60,mito,male5,od2,opl,male,od,opl,1.997875,60,male5,od2,opl,male,od,opl,1.0441056671863518,pcnt_cd68_volume,0.04316069811870838
61,mito,male5,os1,gcl1,male,os,gcl,0.351366,61,male5,os1,gcl1,male,os,gcl,13.80267908571819,pcnt_cd68_volume,2.6248627099673243
62,mito,male5,os1,ipl,male,os,ipl,0.49736499999999995,62,male5,os1,ipl,male,os,ipl,11.583953453502897,pcnt_cd68_volume,2.449620817463922
63,mito,male5,os1,opl,male,os,opl,1.128225,63,male5,os1,opl,male,os,opl,2.078797605584429,pcnt_cd68_volume,0.7317896523256393
64,mito,male5,os2,opl1,male,os,opl,0.478321,64,male5,os2,opl1,male,os,opl,6.4369202677940915,pcnt_cd68_volume,1.8620502064463191
65,mito,male5,os2,opl2,male,os,opl,0.5861255000000001,65,male5,os2,opl2,male,os,opl,5.0444150117006,pcnt_cd68_volume,1.6182816930091581
