,sex,condition,retinal_layer,mod_sex,mod_cond,mod_retinal_layer,Value
0,fem1,od1,ipl,fem,od,ipl,1.0598235833333332
1,fem1,od2,ipl,fem,od,ipl,2.0707628764705883
2,fem1,os1,ipl1,fem,os,ipl,0.9967274439393937
3,fem1,os2,gcl1,fem,os,gcl,0.7392810270270268
4,fem1,os2,gcl2,fem,os,gcl,1.1154531707317075
5,fem1,os2,ipl1,fem,os,ipl,1.7758779999999996
6,fem1,os2,ipl2,fem,os,ipl,1.391306525581395
7,fem2,od1,ipl,fem,od,ipl,1.4233600634615382
8,fem2,od1,opl,fem,od,opl,1.7313483885714287
9,fem2,od2,ipl1,fem,od,ipl,2.3123995384615386
10,fem2,od2,opl1,fem,od,opl,2.341875044444445
11,fem2,od2,opl2,fem,od,opl,1.4561966999999998
12,fem2,os1,ipl,fem,os,ipl,0.8421665670731707
13,fem2,os1,opl,fem,os,opl,2.2093497999999996
14,fem2,os2,ipl1,fem,os,ipl,0.8670454367924526
15,fem2,os2,ipl2,fem,os,ipl,1.6277900019999996
16,fem2,os2,ipl3,fem,os,ipl,1.0082577525773189
17,fem3,od1,gcl,fem,od,gcl,1.0550052333333333
18,fem3,od1,ipl,fem,od,ipl,2.3488333485714286
19,fem3,od1,opl,fem,od,opl,1.7948453333333332
20,fem3,od2,ipl1,fem,od,ipl,2.597267111111111
21,male1,naiveos,gcl2,male,na,gcl,2.1503263500000007
22,male1,naiveos,gcl3,male,na,gcl,1.6282365789473685
23,male1,naiveos,gcl4,male,na,gcl,1.0024991904761904
24,male1,od2,ipl1,male,od,ipl,0.7635756461538461
25,male1,od2,ipl2,male,od,ipl,0.7665570911764705
26,male1,od2,opl,male,od,opl,2.106332212121212
27,male1,os1,gcl1,male,os,gcl,1.1674045187500002
28,male1,os1,ipl1,male,os,ipl,1.2872329589041096
29,male1,os1,ipl2,male,os,ipl,0.7262554032967031
30,male1,os1,opl,male,os,opl,1.148821410638298
31,male1,os2,gcl,male,os,gcl,1.1917036279069768
32,male1,os2,ipl1,male,os,ipl,1.0865582238805966
33,male1,rdos,gcl1,male,rd,gcl,0.8760134851851851
34,male1,rdos,ipl1,male,rd,ipl,1.944281371698113
35,male1,rdos,ipl3,male,rd,ipl,0.9876690638297869
36,male1,rdos,opl1,male,rd,opl,1.2931597412499998
37,male1,wtod,ipl1,male,wt,ipl,2.755985423076924
38,male1,wtos,gcl1,male,wt,gcl,1.3442038064516126
39,male1,wtos,ipl2,male,wt,ipl,2.945426717857143
40,male1,wtos,opl2,male,wt,opl,1.2113391666666664
41,male2,naiveos,ipl2,male,na,ipl,1.7631864848484848
42,male2,naiveos,ipl3,male,na,ipl,1.9524097714285715
43,male2,naiveos,ipl5,male,na,ipl,3.4222470571428567
44,male2,naiveos,opl1,male,na,opl,3.1694152083333336
45,male2,naiveos,opl2,male,na,opl,2.1400079
46,male2,naiveos,opl3,male,na,opl,3.24626928125
47,male2,od1,gcl,male,od,gcl,0.6592335793103448
48,male2,od2,gcl,male,od,gcl,1.2979699710526316
49,male2,os1,gcl,male,os,gcl,0.9327869020833331
50,male2,os2,gcl,male,os,gcl,0.8673505578125
51,male2,os2,ipl1,male,os,ipl,1.04631131754386
52,male2,rdos,ipl1,male,rd,ipl,1.1544666878787877
53,male2,rdos,opl1,male,rd,opl,1.657033497435898
54,male3,wtos,opl1,male,wt,opl,4.150780073170732
55,male4,od1,ipl,male,od,ipl,1.9105942790697668
56,male4,os1,opl,male,os,opl,3.1419722564102557
57,male5,od1,ipl2,male,od,ipl,1.8466900375
58,male5,od1,opl,male,od,opl,1.672121465116279
59,male5,od2,ipl,male,od,ipl,1.1860865555555555
60,male5,od2,opl,male,od,opl,3.1042548269230776
61,male5,os1,gcl1,male,os,gcl,0.43158786349206335
62,male5,os1,ipl,male,os,ipl,1.0188620850467291
63,male5,os1,opl,male,os,opl,1.72082828125
64,male5,os2,opl1,male,os,opl,1.1194599697674417
65,male5,os2,opl2,male,os,opl,1.2068379395833333
